type,price,location,area,bedrooms,bathrooms,kitchens,parking_spaces,Luxury_catogory,built_in_type
House,50.0,E-7,48.0,4.0,5.0,2.0,7.0,High,New Property
Flat,0.42,B-17,2.1,1.0,1.0,1.0,2.0,Medium,Relatively New Property
Flat,0.55,Faisal Town - F-18,1.2,2.0,1.0,1.0,2.0,Low,Relatively New Property
House,11.5,DHA Defence,20.0,6.0,6.0,2.0,3.0,High,New Property
Flat,1.1,I-16,6.6,4.0,4.0,1.0,1.0,High,New Property
Flat,1.63,Bahria Town,5.6,2.0,2.0,1.0,2.0,High,New Property
Flat,0.5,PWD Housing Scheme,2.9,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,3.2,B-17,8.0,4.0,5.0,3.0,2.0,Low,Relatively New Property
Flat,1.65,G-10,4.0,2.0,2.0,1.0,1.0,High,Old Property
Flat,2.55,DHA Defence,10.0,3.0,4.0,1.0,4.0,Medium,Moderately old Property
House,1.75,Bani Gala,5.0,5.0,5.0,1.0,1.0,Low,New Property
Flat,0.78,Faisal Town - F-18,4.7,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.15,D-17,3.9,2.0,2.0,1.0,2.0,High,Relatively New Property
House,1.25,Bani Gala,5.0,2.0,3.0,1.0,1.0,Low,New Property
House,11.25,I-8,10.0,6.0,6.0,2.0,2.0,Low,Relatively New Property
Flat,1.5,G-15,4.8,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,1.22,E-11,3.6,1.0,1.0,1.0,2.0,Low,Relatively New Property
Flat,4.1,E-11,10.2,3.0,3.0,1.0,1.0,Medium,Relatively New Property
House,14.0,D-12,10.9,6.0,6.0,1.0,2.0,Low,New Property
Flat,0.6,FECHS,4.4,2.0,2.0,1.0,1.0,High,Relatively New Property
Flat,0.72,E-11,5.6,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,1.25,Gulberg,3.9,2.0,3.0,1.0,2.0,High,Relatively New Property
Flat,1.6,G-15,5.5,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,1.57,G-11,1.6,1.0,1.0,1.0,1.0,High,Relatively New Property
Flat,1.7,G-15,5.5,2.0,2.0,1.0,1.0,High,New Property
House,18.0,F-10,20.0,6.0,6.0,2.0,4.0,High,New Property
House,17.25,G-13,20.0,7.0,6.0,2.0,6.0,High,Relatively New Property
House,10.5,G-13,14.2,7.0,6.0,2.0,5.0,High,New Property
House,20.23,Kashmir Highway,40.0,5.0,6.0,2.0,4.0,High,New Property
Flat,8.8,Blue Area,8.3,2.0,2.0,1.0,1.0,Medium,Relatively New Property
Flat,1.9,DHA Defence,7.9,3.0,3.0,1.0,1.0,Low,Relatively New Property
House,3.2,I-10,6.0,4.0,4.0,1.0,2.0,High,Relatively New Property
Flat,1.1,GT Road,4.2,2.0,2.0,1.0,1.0,High,New Property
House,28.0,G-6,48.0,5.0,6.0,2.0,5.0,High,New Property
House,24.0,F-8,20.0,5.0,5.0,3.0,2.0,Medium,Relatively New Property
House,16.5,DHA Defence,40.0,5.0,6.0,3.0,2.0,Low,Relatively New Property
